town_code,town_name,population,size,region,coastal,work_town_code,work_town_name,work_town_size,job_density,income,university,perc_age_35_to_64_l4,pop_in_ks4,perc_age_18_l2,perc_age_18_l3,perc_age_19_full_time_higher_ed,perc_age_19_sustained_further_ed,perc_age_19_apprenticeships,perc_age_19_sustained_emp_over_0,perc_age_19_sustained_emp_over_10000,perc_age_22_l1_to_l2,perc_age_22_l3_to_l5,perc_age_22_l6_to_l8,avg_level_age_22,education_score
E34003425,Cheadle BUA,11404,Small Towns,West Midlands,Non-coastal,E30000273,Stoke-on-Trent,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,109,85.32110092,52.29357798,27.52293578,23.85321101,15.59633028,61.46788991,33.94495413,25.9,49.1,23.1,3.385321101,0.96055605
E34003440,Brixworth BUA,5228,Small Towns,East Midlands,Non-coastal,E30000247,Northampton,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,89,87.64044944,62.92134831,44.94382022,NA,NA,48.31460674,21.34831461,18.4,41.4,40.2,4.056179775,4.239730507
E34003456,Chipping Ongar BUA,6093,Small Towns,East of England,Non-coastal,E30000188,Chelmsford,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,62,85.48387097,50,32.25806452,16.12903226,NA,41.93548387,32.25806452,28.3,45,NA,3.451612903,-0.055451779
E34003462,Fleetwood BUA,25359,Medium Towns,North West,Coastal,E30000171,Blackpool,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,315,75.87301587,42.22222222,25.3968254,17.46031746,6.031746032,42.85714286,17.77777778,29.7,46.1,20.5,3.2,-3.177517481
E34003463,Shildon BUA,9976,Small Towns,North East,Non-coastal,E30000203,Durham and Bishop Auckland,Majority rural,Residential,Higher deprivation towns,No university,Low,115,73.91304348,31.30434783,17.39130435,33.91304348,26.08695652,48.69565217,28.69565217,40.2,41.9,NA,3.095652174,-3.879778293
E34003490,Hemsby BUA,5522,Small Towns,East of England,Coastal,E30000210,Great Yarmouth,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,58,81.03448276,43.10344828,17.24137931,NA,NA,44.82758621,25.86206897,31.7,43.3,NA,3.344827586,-0.950998707
E34003491,Ashby-de-la-Zouch BUA,12370,Small Towns,East Midlands,Non-coastal,E30000183,Burton upon Trent,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,140,89.85507246,57.97101449,46.42857143,15.71428571,11.42857143,45,25,21.7,37,39.9,3.964285714,4.828025815
E34003494,Wadebridge BUA,6599,Small Towns,South West,Non-coastal,E30000282,Wadebridge,Majority rural,Mixed,Mid deprivation towns,No university,Medium,78,79.48717949,48.71794872,32.05128205,14.1025641,NA,55.12820513,24.35897436,25.6,46.2,NA,3.423076923,-0.73465615
E34003511,Harpenden BUA,30240,Medium Towns,East of England,Non-coastal,E30000237,Luton,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,354,95.48022599,84.18079096,73.44632768,7.627118644,3.389830508,33.05084746,7.062146893,6.8,32.4,60.6,4.754237288,11.03279063
E34003514,Halesworth BUA,5558,Small Towns,East of England,Non-coastal,E30000235,Lowestoft,Majority town and city (small),Working,Higher deprivation towns,No university,Low,55,70.90909091,45.45454545,18.18181818,23.63636364,NA,69.09090909,34.54545455,37,44.4,NA,3.145454545,-5.326206889
E34003517,Attleborough BUA,10549,Small Towns,East of England,Non-coastal,E30000135,Thetford and Mildenhall,Majority rural,Mixed,Lower deprivation towns,No university,Low,122,83.60655738,43.44262295,24.59016393,27.04918033,15.57377049,56.55737705,34.42622951,31.1,46.7,20.5,3.237704918,-3.009828323
E34003525,Fleet BUA,38726,Medium Towns,South East,Non-coastal,E30000164,Basingstoke,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,High,440,92.95454545,68.18181818,52.27272727,13.86363636,7.954545455,47.04545455,20.90909091,14.8,39.9,44.4,4.168181818,6.540699064
